Gene\Cell type,EXMC,Hypoblast,PreL-TE,PostL-EPI,VE/YE
GCDH,9.0365721875,10.6186376111111,28.3324667884615,16.2714942,30.42882
GCFC2,15.26990596875,6.10214911111111,3.250996,15.0262336,17.4443
GCG,0,0.00645724074074074,0,0,0
GCGR,0.0906355625,0.489892925925926,0.125315557692308,0.37573428,0
GCH1,1.7086425,22.2392779259259,49.8717607692308,6.31901372,29.547596
GCHFR,0.6544459375,13.937801462963,2.92407638461539,1.47554998,16.7455156
GCK,52.7868946875,0.0471386666666667,0.4082025,5.8712105,0.1547428
GCKR,0.07097878125,0.00722214814814815,0.0255159807692308,0.04929274,0.107562
GCLC,13.68863203125,106.506947222222,110.456859230769,87.87335,88.33134
GCM1,1.71856821875,3.61525485185185,2.21537501923077,1.4386291,5.683078
GCM2,0,0,0,0,0
GCN1L1,113.081825,103.494702222222,122.863738461538,142.992348,170.76046
GCNT1,17.58221603125,7.29515274074074,13.2813286346154,65.9409366,26.659497
GCNT2,2.495958,3.12188637037037,4.92663994230769,44.69781076,0.697875
GCNT3,0.0206854375,0,0,0.0577144,0.0752606
GCNT4,0.0956226875,5.65434562962963,3.15653088461538,1.79926042,0.1547428
GCNT7,0.17448828125,0.860494037037037,0.206618134615385,0,0
GCSAM,0,0.120701851851852,0.196831173076923,0,0
GCSAML,5.69253128125,0.844358907407407,0.831655653846154,0.203184,1.048454
GCSH,83.2151709375,173.673488888889,195.195171153846,123.145516,84.23698
GDA,0,0,0,0.00945966,0.0748896
GDAP1,0.89031209375,1.01551581481481,1.65969648076923,23.37130584,29.1936
GDAP2,22.9696160625,23.2678037407407,22.6069490384615,18.45612948,6.1409596
GDE1,75.9850678125,45.96926,137.355007692308,90.274348,76.19988
GDF1,0.166825125,0.0224131481481481,0.0384332692307692,0.82484684,3.150546
GDF10,0.9785353125,0,0.251248653846154,1.5616422,0.0748896
GDF11,15.7275393125,5.6367252962963,1.29738655769231,12.75625278,26.6113
GDF15,0.48303971875,56.9128007037037,51.9048266538461,0.28904802,0
GDF2,0.0464678125,0,0,0,0
GDF3,0.35681065625,3.63489953703704,5.62784363461539,100.72269308,402.1179896
GDF5,0,0.0246071851851852,0,0,0
GDF6,6.1653446875,26.0187422962963,0.0998048653846154,0.01448158,44.8981
GDF7,1.93656071875,4.85225862962963,0.272270442307692,8.55452902,1.5097428
GDF9,8.9508209375,1.8191422962963,0.753033076923077,3.4044174,11.21106
GDI1,72.7343375,88.9510611111111,46.6257644230769,58.94977708,56.10428
GDI2,254.555353125,824.428055555555,390.329942307692,315.787778,264.57068
GDNF,0.13514684375,0.0356197592592593,0.0255462115384615,0.6609248,0.3979466
GDPD1,1.68141915625,8.80305181481481,3.41222582692308,5.73675292,19.83858
GDPD2,0.0228580625,3.97394822222222,0.971855019230769,30.05920054,0
GDPD3,29.5421703125,39.395857037037,55.4096653846154,17.020384,43.060478
GDPD4,0,0.0265355555555556,0.331869230769231,1.25549916,6.29072
GDPD5,6.08127575,28.3329411111111,16.91769,0.77415324,28.312241
